ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
RENJH5CHEUX2XNEBFDAJQ225QUZCOWB24NJ635JIUJAZQPGRMHDQ,pay,57502044,2026-01-16 22:51:52 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1.3e-05,0.0,,VGhlIGFkZHJlc3MgRUZYN0suLkhVWE80IHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
NZKWCV2OYK7WVAPWN7LASS3TUHZWMX3MOFIMPIYAJR44OGZULHMQ,pay,57502035,2026-01-16 22:51:27 UTC,EFX7K2V6EL7FKRSCRSFBHHHICYVWIADTTB7LYOYWQG4BE7HWWJIGBHUXO4,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1e-06,0.001,,
65UG7OT3M3GKZHMVTQG3LUA7VQCKI2Y4PT4UHZAGCXHN4FNOGJGQ,pay,57501977,2026-01-16 22:48:45 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1.3e-05,0.0,,VGhlIGFkZHJlc3MgRUZYN0suLkhVWE80IHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
VO4ELEC5TMF2QEQ7MX24RENPIDMF3UU47Z3SSOLAHUOQSQZNKHLQ,pay,57501971,2026-01-16 22:48:28 UTC,EFX7K2V6EL7FKRSCRSFBHHHICYVWIADTTB7LYOYWQG4BE7HWWJIGBHUXO4,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1e-06,0.001,,
5DWP655Z3X62KUETQO735XW5AKNEX6NA5YBVEKPCFQ5OS755U6CA,pay,57501923,2026-01-16 22:46:14 UTC,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,EFX7LK2UDEQUTY5X6RDMFZBSO6ARFUI5ND4JP6OBSB6Q45KN4XNKXPP654,6233.131016,0.001,,
VJBH25G2YDGJC6IHNWMZS7LWM33FOGJVGILI2XWHRRFWBBRH4U7A,pay,57501861,2026-01-16 22:43:21 UTC,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,EFX7LK2UDEQUTY5X6RDMFZBSO6ARFUI5ND4JP6OBSB6Q45KN4XNKXPP654,20.0,0.001,,
4YITNULXL6MO6BDWZNQKL4FKB6GALDBYJRVEYD6A5HWWENZGJYAQ,pay,57500331,2026-01-16 21:31:37 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1.3e-05,0.0,,VGhlIGFkZHJlc3MgVExENEYuLkVQVllJIHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
6DDVE7DQK66HPJPTWLDSAVGXE4SE3ILCHRUURJMWVJIAIQZNXYAQ,pay,57500319,2026-01-16 21:31:02 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1.3e-05,0.0,,VGhlIGFkZHJlc3MgVExENEYuLkVQVllJIHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
AEPQ6MGXCPNSAV4WWEVFHJXL6ZALMQILJ6K5RERUDXB64DE5JCGA,pay,57500309,2026-01-16 21:30:34 UTC,TLD4FUYWMZED3WF3IJHPL3YJT6DVNJOO2MT37R4DQ3JSAOLHW7MCIEPVYI,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,1e-06,0.001,,
4VZKOFZPC7TXNPJ5KNYCGYJMBLG4BCDKR6QE7ELXYC4V2LT4S64Q,appl,57500206,2026-01-16 21:25:43 UTC,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,,0,0.0,,
YECBZRCES2G6G2EANHKSCD6GCGOS7KQMLUNKFKWDH5X6FCTGR5EA,axfer,57500206,2026-01-16 21:25:43 UTC,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,WQLJ42OMKFOYGEWIPMEK3P4QP63DRIOJ5ADC7L3LIOPJFPV7BG2YRSWJ4I,287028731,0.0,2699078351,
MBVEHUSOBQJFXVOZM2EYOBHOK5M6VK27IJDN2PFG3IVCWXGTPPCQ,appl,57500206,2026-01-16 21:25:43 UTC,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,,0,0.058,,
TZGCGBPPUUJKOUMWSJRMIUTV6RGX42PBZDUXVZPLTKRV6PVHVUKQ,pay,57500196,2026-01-16 21:25:15 UTC,TLD4ZL5R4KSUL4UVT32XCJ37CP5RCJWA55SHZWJ4GXBMPZ3URMJKTENDYI,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,2.0,0.001,,
K3HS2VKFIWCGVMXXJHPCSULUUDJR2EMHZAXXECWK7GZGZDFXYQEQ,axfer,57499906,2026-01-16 21:11:31 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,27UQMXEH6JXZKT6L3LWGQAEEH6VQ34YGCBXONTEXGM3DNJ4BM3ZSLWXL7Y,287000000,0.001,2699078351,TlVHR0VUIGRhaWx5IGRyb3A=
